date,horizon,target,actual,naive,arima,var
2016-06-01,3,infl_yoy,1.0553158595656864,1.0784764621246223,1.339196514171587,1.2968901472356347
2016-06-01,3,unrate,4.9,4.8,4.814016631966462,4.71737873869212
2016-06-01,6,infl_yoy,1.6843334719788938,1.0784764621246223,1.5908337613043901,1.809815393590343
2016-06-01,6,unrate,4.7,4.8,4.803638320828028,4.540307826566956
2016-07-01,1,infl_yoy,0.8683633430518256,1.0792865347959424,1.199052171586636,1.2318233299231753
2016-07-01,1,unrate,4.8,4.9,4.8814070167652925,4.905290820849762
2016-07-01,3,infl_yoy,1.5486446201652182,1.0792865347959424,1.4565165755792544,1.5564783319645226
2016-07-01,3,unrate,5.0,4.9,4.87787796785528,4.857423436791911
2016-07-01,6,infl_yoy,2.0507989115119862,1.0792865347959424,1.7322301586084934,1.893474244611085
2016-07-01,6,unrate,4.7,4.9,4.8954656781318215,4.755063270645738
2016-08-01,1,infl_yoy,1.0553158595656864,0.8683633430518256,0.8602760657021049,0.9228109566155117
2016-08-01,1,unrate,4.9,4.8,4.799968476619385,4.7962498170272765
2016-08-01,3,infl_yoy,1.685924966243646,0.8683633430518256,1.1266696018765898,1.3251650486409683
2016-08-01,3,unrate,4.9,4.8,4.780858986058086,4.6832616028131016
2016-08-01,6,infl_yoy,2.510393348257112,0.8683633430518256,1.4381914900360777,1.7715114554855274
2016-08-01,6,unrate,4.7,4.8,4.778520457226305,4.574940393157194
2016-09-01,1,infl_yoy,1.5486446201652182,1.0553158595656864,1.2842942638183412,1.2782609484767347
2016-09-01,1,unrate,5.0,4.9,4.8861049074452705,4.851045435687684
2016-09-01,3,infl_yoy,1.6843334719788938,1.0553158595656864,1.4717903586608967,1.5938130090245992
2016-09-01,3,unrate,4.7,4.9,4.901420480420067,4.78453465723882
2016-09-01,6,infl_yoy,2.8103616813294208,1.0553158595656864,1.6747750793880654,1.919426195011379
2016-09-01,6,unrate,4.6,4.9,4.944210230753086,4.689025835958989
2016-10-01,1,infl_yoy,1.685924966243646,1.5486446201652182,1.737006560345094,1.8884438549416689
2016-10-01,1,unrate,4.9,5.0,5.000212080528065,4.9289262271336165
2016-10-01,3,infl_yoy,2.0507989115119862,1.5486446201652182,1.8394676701328718,1.985214295019979
2016-10-01,3,unrate,4.7,5.0,5.0528799333192,4.9220254872386775
2016-10-01,6,infl_yoy,2.44119623655914,1.5486446201652182,1.9582582271963742,2.0897228162359758
2016-10-01,6,unrate,4.4,5.0,5.142628830117527,4.868027979334483
2016-11-01,1,infl_yoy,1.6843334719788938,1.685924966243646,1.7223495676528797,1.6644565094746853
2016-11-01,1,unrate,4.7,4.9,4.9313146368596215,4.9186162763342685
2016-11-01,3,infl_yoy,2.510393348257112,1.685924966243646,1.8270406608326808,1.823241446775866
2016-11-01,3,unrate,4.7,4.9,4.960641011190471,4.897704901570101
2016-11-01,6,infl_yoy,2.176223471915395,1.685924966243646,1.9463182458224153,1.9835299822822958
2016-11-01,6,unrate,4.4,4.9,5.020903062569507,4.835633853568095
2016-12-01,1,infl_yoy,2.0507989115119862,1.6843334719788938,1.7240113781644353,1.7319557680363886
2016-12-01,1,unrate,4.7,4.7,4.720656731751235,4.681833707888381
2016-12-01,3,infl_yoy,2.8103616813294208,1.6843334719788938,1.8279980724801927,1.9379810460475353
